1girl,"1_个女人,人物类型>1_个女人,1个女孩"
:d,"咧嘴笑,人物面部>咧嘴笑"
short_sleeves,"短袖,服饰>袖子>短袖"
hair_bow,"蝴蝶结发饰,人物属性>其他毛发相关>蝴蝶结发饰,发弓,人物头部饰品>蝴蝶结发饰"
greyscale,"灰白图,灰阶,黑白片,纯黑白色/黑白照片化/灰度,图片属性>颜色>灰白图,图片属性(高级)>艺术技巧>灰阶,图片属性(高级)>镜头效果>黑白片"
hetero,"异性"
white_hair,"白发,人物属性>发色与发型>白发"
male_focus,"男人,人物类型>男人,男性焦点"
heart,"心"
pantyhose,"连裤袜,服饰>腿部服饰类型>连裤袜,人物鞋袜>连裤袜"
bikini,"比基尼,服饰>泳装和紧身服>比基尼"
sidelocks,"有明显侧发,耳前发,人物属性>发色与发型>有明显侧发,侧锁,人物发型>耳前发"
thighs,"大腿,人物下身装饰>大腿"
nude,"裸体的,人物全身服饰>裸体的"
red_hair,"红发,人物属性>发色与发型>红发,红头发,人物发色>红发"
cowboy_shot,"腿部以上,七分身镜头,图片属性>构图>腿部以上,牛仔射击"
pleated_skirt,"百褶裙,服饰>下装>百褶裙"
sweat,"汗水"
hairband,"发箍,头箍,人物属性>其他毛发相关>发箍,发带,人物头部饰品>头箍"
multicolored_hair,"多种发色,多彩头发,人物属性>发色与发型>多种发色,五彩的头发,人物发色>多彩头发"
translation_request,"翻译请求"
earrings,"耳环,人物属性>耳朵>耳环"
small_breasts,"小胸部_(B),人物胸部>小胸部_(B),小乳房"
grey_hair,"灰发,人物属性>发色与发型>灰发,白发,人物发色>灰发"
boots,"靴子,长靴,服饰>鞋类>靴子,人物鞋袜>长靴"
lying,"躺着,人物属性>姿势>躺着,说谎,人体姿势>躺着"
censored,"有码,成年限定>有码,审查"
outdoors,"户外,背景>户外"
frills,"皱边,人物全身服饰>皱边,褶边"
parted_lips,"分开的嘴唇,嘴唇微张,人物属性>情绪>分开的嘴唇"
detached_sleeves,"分离式袖子,袖肩分离装,服饰>袖子>分离式袖子,人物上身装饰>袖肩分离装"
one_eye_closed,"一只眼睛闭上,一只眼睛闭着,人物属性>情绪>一只眼睛闭上,人物眼睛>一只眼睛闭着"
food,"食品"
japanese_clothes,"和服,人物全身服饰>和服,日本衣服"
multiple_boys,"多个男孩"
green_hair,"绿发,人物属性>发色与发型>绿发,绿色的头发"
wings,"翅膀,翅膀/翼,人物属性>翅膀>翅膀,人物上身装饰>翅膀/翼"
open_clothes,"敞开衣服,人物上身装饰>敞开衣服,打开衣服"
sky,"天空,天空/气象>天空"
necktie,"领带,服饰>颈部与颈饰>领带,人物上身装饰>领带"
horns,"兽角,人物头部饰品>兽角,喇叭"
penis,"阳具/屌,成年限定>阳具/屌,阴茎"
shoes,"鞋子"
fate_(series),"fate(系列)"
glasses,"眼镜,眼镜/眼镜娘,人物属性>眼睛>眼镜,人物类型>眼镜/眼镜娘"
shorts,"短裤,服饰>下装>短裤,人物下身装饰>短裤"
barefoot,"赤脚,人物下身装饰>赤脚"
serafuku,"水手服,服饰>制服与其他服装>水手服,濑福"
pussy,"阴户,成年限定>阴户,猫"
teeth,"牙,人物面部>牙,牙齿"
solo_focus,"单人焦点,人物摆位>单人焦点,独奏焦点"
sleeveless,"无袖,服饰>袖子>无袖"
day,"白天,天空/气象>白天"
alternate_costume,"替代服装"
choker,"颈圈,颈部饰品,服饰>颈部与颈饰>颈圈,项链"
tongue,"舌头,人物面部>舌头"
pointy_ears,"尖耳朵,人物属性>耳朵>尖耳朵"
socks,"袜子,短袜,服饰>腿部服饰类型>袜子,人物鞋袜>短袜"
black_gloves,"黑色手套"
elbow_gloves,"长袖手套,人物上身装饰>长袖手套,肘部手套"
hairclip,"发夹,人物属性>其他毛发相关>发夹,人物头部饰品>发夹"
fang,"虎牙,人物面部>虎牙,方"
midriff,"腹部,人物下身装饰>腹部,中腹部"
striped,"横条花纹,人物全身服饰>横条花纹,条纹"
puffy_sleeves,"蓬松的袖子,人物属性>肩膀>蓬松的袖子"
shiny,"闪亮"
looking_back,"回头看,回眸,人物属性>视线>回头看,人物摆位>回眸"
belt,"腰带,人物下身装饰>腰带"
sword,"刀,场景建设>物品>刀,剑"
collared_shirt,"有领衬衫,翻领衬衫,服饰>衬衫和上衣>有领衬衫,人物上身装饰>翻领衬衫"
pants,"裤子,服饰>下装>裤子"
official_art,"官方图片,官方画作,图片属性>艺术类型>官方图片,官方艺术"
artist_name,"艺术家姓名"
cloud,"云,天空/气象>云"
black_thighhighs,"黑色过膝袜,人物鞋袜>黑色过膝袜,黑色长筒袜"
indoors,"室内,场景建设>物品>室内"
tears,"眼泪,人物属性>情绪>眼泪,人物眼睛>眼泪"
cat_ears,"猫耳朵,人物属性>耳朵>猫耳朵"
fate/grand_order,"fate/大订单"
white_gloves,"白手套"
virtual_youtuber,"虚拟_youtuber"
3girls,"两女"
hair_flower,"花发饰,发花,人物属性>其他毛发相关>花发饰,人物头部饰品>发花"
signature,"含签名,图片杂件>含签名"
dark_skin,"肤色较深,人物属性>肤色>肤色较深,深色皮肤"
hand_up,"举手"
spread_legs,"张腿,人体姿势>张腿,张开双腿"
silver_hair,"银发,人物属性>发色与发型>银发"
cum,"射精,成年限定>射精,精液"
2boys,"2_个男人,人物类型>2_个男人,两男"
hood,"帽兜,兜帽,服饰>制服与其他服装>帽兜,引擎盖"
sex,"性爱,成年限定>性爱,色色"
idolmaster,"偶像大师,图片属性>艺术风格>偶像大师"
miniskirt,"迷你裙,服饰>下装>迷你裙,人物下身装饰>迷你裙"
tongue_out,"吐舌头,人物面部>吐舌头"
wide_sleeves,"宽口袖子,服饰>袖子>宽口袖子,宽袖"
on_back,"仰卧,仰躺,人物属性>姿势>仰卧,背面,人体姿势>仰躺"
fingerless_gloves,"露指手套,人物上身装饰>露指手套,无指手套"
blunt_bangs,"齐刘海,人物发型>齐刘海,钝刘海"
bowtie,"领结,蝴蝶领结,服饰>颈部与颈饰>领结,人物头部饰品>蝴蝶领结"
black_skirt,"黑色裙子"
armpits,"举手露腋,人物手势动作>举手露腋,腋窝"
pink_eyes,"粉红色眼睛,人物属性>眼睛>粉红色眼睛,粉红色的眼睛"
english_commentary,"英文评论"
sailor_collar,"水手领,人物头部饰品>水手领"
medium_hair,"中等长度头发,中等长发,人物属性>发色与发型>中等长度头发,中等头发,人物发型>中等长发"
kimono,"和服,人物全身服饰>和服"
pokemon,"宠物小精灵"
water,"水,场景建设>户外场景>水"
grey_background,"灰色背景"
necklace,"项链,服饰>颈部与颈饰>项链"
black_legwear,"黑色腿装,黑色裤袜,服饰>腿部服饰属性>黑色腿装,黑色连裤袜,黑色过膝袜,黑色紧身裤"
off_shoulder,"衣服从肩膀滑下,露单肩,人物属性>肩膀>衣服从肩膀滑下,露肩,人物上身装饰>露单肩"
chibi,"Q_版,人物类型>Q_版,赤壁"
bag,"包"
hair_bun,"团子头,人物发型>团子头,发髻"
clothes_lift,"掀起衣物,人物手势动作>掀起衣物,衣服升降机"
cape,"披风,披肩/斗篷/披风,服饰>制服与其他服装>披风"
from_behind,"侧视视角,背影,图片属性>角度/透视/深度>侧视视角,从后面,人物摆位>背影"
star_(symbol),"星(符号)"
stomach,"胃"
scarf,"围巾,服饰>颈部与颈饰>围巾,人物头部饰品>围巾"
twitter_username,"推特用户名"
bra,"胸罩,人物胸部>胸罩,文胸"
nail_polish,"指甲油"
orange_hair,"橘发,人物属性>发色与发型>橘发,橙色头发"
yuri,"百合,人物类型>百合,尤里"
white_dress,"白色连衣裙,服饰>连衣裙>白色连衣裙"
sweatdrop,"汗珠"
holding_weapon,"手持武器"
black_footwear,"黑色鞋类"
armor,"装甲,服饰>制服与其他服装>装甲,盔甲"
rabbit_ears,"兔子耳朵,兔耳,人物属性>耳朵>兔子耳朵,兔耳朵"
white_panties,"白色内裤,人物下身装饰>白色内裤"
mole,"痣,人物上身装饰>痣,鼹鼠"
hair_over_one_eye,"头发遮住一只眼睛,头发遮住了一只眼睛,人物属性>眼睛>头发遮住一只眼睛,一只眼睛上的头发,人物发型>头发遮住了一只眼睛"
grin,"露齿而笑,人物面部>露齿而笑,咧嘴一笑"
uniform,"制服,人物全身服饰>制服"
:o,"惊讶,人物面部>惊讶"
huge_breasts,"巨乳_(E),人物胸部>巨乳_(E),巨大的乳房"
blurry,"模糊的,镜头特效>模糊的"
black_eyes,"黑色眼睛,黑眼,人物属性>眼睛>黑色眼睛,黑眼睛"
character_name,"人物名称"
apron,"围裙,服饰>制服与其他服装>围裙"
looking_at_another,"看着另一个人,盯着另一人,人物属性>视线>看着另一个人"
vest,"背心,服饰>衬衫和上衣>背心"
black_dress,"黑色连衣裙,服饰>连衣裙>黑色连衣裙"
arm_up,"单抬臂,人物手势动作>单抬臂,举起手臂"
mosaic_censoring,"马赛克审查"
high_heels,"高跟鞋,服饰>鞋类>高跟鞋,人物鞋袜>高跟鞋"
vaginal,"阴道"
red_bow,"红色蝴蝶结"
twin_braids,"双辫子,人物发型>双辫子"
flat_chest,"贫乳_(A),人物胸部>贫乳_(A),平胸"
arms_up,"双抬臂,人物手势动作>双抬臂,举起手臂"
shiny_hair,"有光泽的头发,人物发型>有光泽的头发,闪亮的头发"
side_ponytail,"侧马尾辫,人物属性>发色与发型>侧马尾辫,人物发型>侧马尾"
bracelet,"手镯,人物上身装饰>手镯,手链"
collar,"项圈,服饰>颈部与颈饰>项圈,衣领"
covered_nipples,"覆盖的乳头"
feet,"脚,人物下身装饰>脚"
dated,"日期"
from_side,"角色的侧面,人物摆位>角色的侧面,从侧面"
aqua_eyes,"青色眼睛,吐舌鬼脸,人物属性>眼睛>青色眼睛,水眼"
vocaloid,""
sweater,"毛衣,服饰>衬衫和上衣>毛衣"
white_thighhighs,"白色过膝袜,人物鞋袜>白色过膝袜,白色长筒袜"
two-tone_hair,"两种发色,人物属性>发色与发型>两种发色,两色头发"
speech_bubble,"讲话泡泡"
leotard,"高叉连体紧身衣,體操服,服饰>泳装和紧身服>高叉连体紧身衣"
red_ribbon,"红丝带"
two_side_up,"披肩双马尾,小型双股辫,人物属性>发色与发型>披肩双马尾,两侧向上,人物发型>小型双股辫"
english_text,"英文文本"
dark-skinned_female,"黑皮肤女性"
open_jacket,"开夹克"
tree,"树"
sketch,"草图,图片属性>艺术类型>草图,素描,风格>草图"
cup,"杯子"
blue_sky,"蓝天"
puffy_short_sleeves,"蓬松的短袖,服饰>袖子>蓬松的短袖,蓬松短袖"
lips,"嘴唇,人物面部>嘴唇"
zettai_ryouiki,"绝对领域,人物下身装饰>绝对领域"
blue_skirt,"蓝色裙子"
hololive,"hololive"
official_alternate_costume,"官方备用服装"
groin,"腹部三角带,限制级>腹部三角带,腹股沟"
coat,"外套,服饰>衬衫和上衣>外套"
fingernails,"指甲"
wet,"湿的"
genshin_impact,"原神"
cat_tail,"猫尾巴,人物属性>尾巴>猫尾巴"
v-shaped_eyebrows,"眉毛皱成V形(表高傲或愤怒),人物面部>眉毛皱成V形(表高傲或愤怒),V字眉"
bad_twitter_id,"错误的推特_id"
streaked_hair,"挑染,条染,人物属性>发色与发型>挑染,条纹头发,人物发色>条染"
black_jacket,"黑色夹克"
neckerchief,"水手服的领巾,服饰>颈部与颈饰>水手服的领巾,围巾"
head_tilt,"歪着头,人体姿势>歪着头,头部倾斜"
crop_top,"露腹短上衣,服饰>衬衫和上衣>露腹短上衣,裁剪上衣"
white_legwear,"白色腿装,白色裤袜,服饰>腿部服饰属性>白色腿装,白色过膝袜,白色连裤袜,白色紧身裤"
see-through,"透明装,人物全身服饰>透明装"
orange_eyes,"橙色眼睛,人物属性>眼睛>橙色眼睛"
gradient,"渐变色,(身体或肢体)倾斜,图片属性>颜色>渐变色"
hand_on_hip,"单手叉腰,单手插腰,人物属性>手>单手叉腰,手放在臀部,人物手势动作>单手插腰"
azur_lane,"碧蓝航线"
gun,"枪,场景建设>物品>枪"
shiny_skin,"闪亮的皮肤"
animal_ear_fluff,"动物耳朵绒毛"
idolmaster_cinderella_girls,"偶像大师灰姑娘女孩"
wrist_cuffs,"腕饰,人物上身装饰>腕饰,手腕袖口"
pillow,"枕头,场景建设>物品>枕头"
book,"书"
sleeves_past_wrists,"萌袖,袖子长过手腕,服饰>袖子>萌袖,袖子过手腕,人物上身装饰>袖子长过手腕"
plaid,"格子花纹,人物全身服饰>格子花纹"
looking_to_the_side,"看向一边,看向侧面,人物属性>视线>看向一边,人物摆位>看向侧面"
torn_clothes,"破烂衣服,人物全身服饰>破烂衣服,撕裂的衣服"
artist_request,"艺术家请求"
maid,"女仆装,服饰>制服与其他服装>女仆装,女佣,人物类型>女仆"
legs,"腿"
grey_eyes,"灰色眼睛,银色眼睛,灰眼,人物属性>眼睛>灰色眼睛,灰色的眼睛,人物属性>眼睛>银色眼睛,人物眼睛>灰眼"
parted_bangs,"中分,分开的刘海,人物属性>发色与发型>中分,分刘海"
pokemon_(game),"宠物小精灵(游戏)"
kneehighs,"中筒袜,长袜,服饰>腿部服饰类型>中筒袜,膝盖高,人物鞋袜>长袜"
sash,"和服腰上的饰带,服饰>衬衫和上衣>和服腰上的饰带,窗扇"
military,"军事"
maid_headdress,"女仆头饰,人物头部饰品>女仆头饰"
black_pantyhose,""
cosplay,"角色扮演,风格>角色扮演"
petals,"花瓣,花卉>花瓣"
black_panties,"黑色内裤"
hands_up,"举起手来"
bare_arms,"光着膀子"
fur_trim,"皮草饰边"
pubic_hair,"阴毛,成年限定>阴毛"
gradient_background,"渐变的背景,背景>渐变的背景,渐变背景"
symbol-shaped_pupils,"符号形瞳孔,符号眼,人物属性>眼睛>符号形瞳孔"
fox_ears,"狐狸耳朵,人物属性>耳朵>狐狸耳朵"
one-piece_swimsuit,"一体式泳衣,人物全身服饰>一体式泳衣,连体泳衣"
loli,"萝莉,人物类型>萝莉"
short_shorts,"热裤,服饰>下装>热裤,短裤,人物下身装饰>热裤"
ascot,"领巾,服饰>颈部与颈饰>领巾,阿斯科特"
dutch_angle,"倾斜镜头,德式倾斜镜头,图片属性>角度/透视/深度>倾斜镜头,荷兰角"
black_shirt,"黑色衬衫"
clothing_cutout,"服装镂空"
eyelashes,"睫毛,人物眼睛>睫毛"
open_shirt,"开衫"
no_humans,"没有人类,非人,无人,图片属性>主题>没有人类,人物类型>无人"
bare_legs,"光腿,人物下身装饰>光腿,裸腿"
bar_censor,"酒吧审查员"
dress_shirt,"正装衬衫,西服衬衫,服饰>衬衫和上衣>正装衬衫,礼服衬衫"
sparkle,"闪耀效果,镜头特效>闪耀效果,闪光"
mole_under_eye,"眼角有痣,人物头部饰品>眼角有痣,眼睛下方的痣"
window,"窗口"
kneeling,"跪着,下跪,人物属性>姿势>跪着,人体姿势>下跪"
lowres,"低分辨率,图片属性>图片格式>低分辨率"
pokemon_(creature),"宠物小精灵_(生物)"
4girls,"4女"
single_braid,"单辫,人物发型>单辫"
bodysuit,"连体紧身衣,服饰>泳装和紧身服>连体紧身衣,紧身连衣裤,人物全身服饰>紧身衣"
sleeveless_shirt,"无袖衬衫,服饰>衬衫和上衣>无袖衬衫"
hug,"拥抱,人物属性>姿势>拥抱"
v,"胜利手势,人物手势动作>胜利手势,x"
no_bra,"无胸罩,人物胸部>无胸罩,没有胸罩"
strapless,"无肩带"
bell,"铃铛,人物头部饰品>铃铛"
saliva,"唾液,人物面部>唾液"
double_bun,"双团子头,人物属性>发色与发型>双团子头,双包子,人物发型>双团子头"
aqua_hair,"水色头发"
uncensored,"无码,成年限定>无码,未经审查"
black_headwear,"黑色头饰,服饰>头饰>黑色头饰"
black_ribbon,"黑丝带"
military_uniform,"军装,军服,服饰>制服与其他服装>军装"
bed,"床"
blood,"血液,人物属性>受伤与医疗>血液"
completely_nude,"完全裸体"
md5_mismatch,""
hoodie,"连帽衫,卫衣,服饰>衬衫和上衣>连帽衫"
hatsune_miku,"初音未来"
sideboob,"侧臂"
scan,"扫描"
4koma,"四格,图片属性>图片格式>四格"
pussy_juice,"爱液,成年限定>爱液,猫汁"
profile,"侧脸,图片属性>构图>侧脸,个人资料,人物摆位>侧脸"
black_bow,"黑色蝴蝶结"
covered_navel,"覆盖肚脐"
tattoo,"纹身,人物全身装饰>纹身"
skindentation,"剥皮"
gradient_hair,"纵向渐变发色,人物属性>发色与发型>纵向渐变发色,渐变头发"
makeup,"化妆品,浓装,人物属性>眼睛>化妆品,人物面部>浓装"
neck_ribbon,"系在脖子上的丝带,颈部系着缎带,服饰>颈部与颈饰>系在脖子上的丝带,颈带"
leaning_forward,"向前倾,身体前驱,人物属性>姿势>向前倾,身体前倾"
thigh_strap,"腿带,服饰>腿部服饰类型>腿带,大腿绑带,大腿带"
mask,"面具/眼罩/口罩,人物头部饰品>面具/眼罩/口罩"
muscular,"肌肉,人物上身装饰>肌肉,肌肉发达,肌肉男"
no_panties,"无内裤,人物下身装饰>无内裤,没有内裤"
multiple_views,"多视图,视角>多视图,多个视图"
capelet,"披肩,服饰>颈部与颈饰>披肩,肩披肩"
witch_hat,"女巫帽,服饰>头饰>女巫帽,人物头部饰品>女巫帽"
banned_artist,"被禁止的艺术家"
arknights,"方舟骑士"
anus,"菊花,成年限定>菊花,肛门"
copyright_name,"版权名称"
:3,"猫嘴,人物面部>猫嘴,65286"
alternate_hairstyle,"备用发型"
fruit,"水果"
underboob,"南半球,人物胸部>南半球"
detached_collar,"假领,人物头部饰品>假领,分离式衣领"
night,"晚上,夜晚,场景建设>时间>晚上"
depth_of_field,"景深,背景虚化,图片属性>构图>景深,背景>背景虚化"
sleeveless_dress,"无袖连衣裙,服饰>连衣裙>无袖连衣裙"
floating_hair,"漂浮的头发,人物属性>其他毛发相关>漂浮的头发,人物发型>漂浮的头发,吹头发"
headband,"穿过额头的带子,人物属性>其他毛发相关>穿过额头的带子,头带"
buttons,"纽扣,人物全身装饰>纽扣,按钮"
commission,"佣金"
^_^,"^_^"
cameltoe,"骆驼趾（俗称馒头逼）,限制级>骆驼趾（俗称馒头逼）"
blue_dress,"蓝色连衣裙,服饰>连衣裙>蓝色连衣裙"
copyright_request,"版权请求"
cum_in_pussy,"内射,成年限定>内射,精液在阴部"
fox_tail,"狐尾,狐狸尾巴,人物属性>尾巴>狐尾"
toes,"脚趾,人物下身装饰>脚趾"
side-tie_bikini_bottom,"系带式比基尼,人物全身服饰>系带式比基尼,侧系带比基尼泳裤"
bottomless,"下着较少,人物下身装饰>下着较少,无底"
black_bikini,"黑色比基尼"
shadow,"影子"
blurry_background,"模糊的背景"
glowing,"发光"
nose_blush,"害羞,人物面部>害羞,鼻腮红"
feet_out_of_frame,"脚部脱框,人物摆位>脚部脱框,脚出框架"
red_skirt,"红裙子"
rose,"玫瑰"
fake_animal_ears,"假动物耳朵,人物属性>耳朵>假动物耳朵"
swept_bangs,"斜刘海,扫浏海,人物属性>发色与发型>斜刘海,扫刘海"
bed_sheet,"床单"
hakurei_reimu,"博丽灵梦"
holding_hands,"牵手,人物属性>手>牵手,人物手势动作>牵手"
chain,"锁链,人物全身装饰>锁链,链条"
headgear,"头饰"
facial_hair,"胡子,人物属性>其他毛发相关>胡子,面部毛发"
turtleneck,"高领衫,服饰>衬衫和上衣>高领衫,高领毛衣"
bird,"鸟"
6+girls,""
siblings,"兄弟姐妹,人物类型>兄弟姐妹"
headphones,"耳机,人物属性>耳朵>耳机,人物头部饰品>耳机"
colored_skin,"有色皮肤"
ocean,"海洋,大海,场景建设>户外场景>海洋,背景>大海"
arm_support,"用手支撑住,人物手势动作>用手支撑住,手臂支撑"
heterochromia,"异色瞳,人物属性>眼睛>异色瞳,异色症,人物眼睛>异色瞳"
low_twintails,"低双马尾,低扎双尾,人物属性>发色与发型>低双马尾"
animal,"动物"
halterneck,"绕颈系带,人物头部饰品>绕颈系带,露背上衣"
umbrella,"伞,场景建设>物品>伞,雨伞"
frown,"皱眉,皱眉/蹙额,人物属性>情绪>皱眉,人物面部>皱眉/蹙额"
beret,"贝雷帽,服饰>头饰>贝雷帽"
leaf,"叶"
thigh_boots,"长度到大腿的靴子,高帮靴,服饰>鞋类>长度到大腿的靴子,大腿靴,人物鞋袜>高帮靴"
pov,"第一人称视角,主观视角,图片属性>角度/透视/深度>第一人称视角,视角>主观视角"
embarrassed,"尴尬的,人物属性>情绪>尴尬的,人物面部>尴尬的"
on_bed,"在床上"
one_side_up,"披肩单马尾,人物属性>发色与发型>披肩单马尾,一面朝上"
white_headwear,"白色头饰"
back,"背影像,图片类型>背影像,返回"
from_above,"俯视视角,俯视镜头,图片属性>角度/透视/深度>俯视视角,从上面,人物摆位>俯视镜头"
fangs,"尖牙,人物面部>尖牙,獠牙"
watermark,"含水印,图片杂件>含水印"
garter_straps,"吊带袜的吊带,袜带,服饰>腿部服饰类型>吊带袜的吊带,吊袜带,人物鞋袜>袜带"
ass_visible_through_thighs,"正面可见的屁股,人物下身装饰>正面可见的屁股,屁股通过大腿可见"
kirisame_marisa,""
blue_background,"蓝色背景"
non-web_source,"非网络来源"
highleg,"高腿"
scar,"疤痕,人物属性>受伤与医疗>疤痕"
white_bikini,"白色比基尼"
on_side,"侧卧,人物属性>姿势>侧卧,在旁边,人体姿势>侧卧"
transparent_background,"透明背景,背景>透明背景"
plaid_skirt,"格子裙,格子呢短裙,服饰>下装>格子裙,人物下身装饰>格子呢短裙"
mahou_shoujo_madoka_magica,"魔法少女小圆,图片属性>艺术风格>魔法少女小圆"
upper_teeth,"露出上排牙齿,人物面部>露出上排牙齿,上牙"
wariza,"鸭子坐,割坐,人物属性>姿势>鸭子坐,瓦里萨,人体姿势>割坐"
blue_bow,"蓝色蝴蝶结"
mouth_hold,"嘴咬住,人物面部>嘴咬住,嘴巴"
traditional_media,"手绘,风格>手绘,传统媒体"
beach,"海滩,场景建设>户外场景>海滩"
chair,"椅子,场景建设>物品>椅子"
parody,"拙劣模仿,图片类型>拙劣模仿"
wavy_hair,"自然卷,人物发型>自然卷,卷发"
facial_mark,"面部标记"
bandages,"绷带,人物属性>受伤与医疗>绷带,人物上身装饰>绷带"
looking_away,"看向别处,移开视线,人物属性>视线>看向别处,看着别处,人物摆位>移开视线"
female_pubic_hair,"女性阴毛"
black_choker,"黑色项圈"
hair_tubes,"圆柱形发饰(灵梦),人物属性>其他毛发相关>圆柱形发饰(灵梦),发管"
blush_stickers,"2D脸红,人物属性>情绪>2D脸红,腮红贴"
shirt_lift,"衬衫升降机"
expressionless,"无口,人物面部>无口,面无表情"
drill_hair,"钻头卷,钻头卷/公主卷,人物属性>发色与发型>钻头卷"
chinese_clothes,"中国服饰(极大概率是旗袍),人物全身服饰>中国服饰(极大概率是旗袍),中式服装"
brown_footwear,"棕色鞋类"
grabbing,"抓住/抓着,人物手势动作>抓住/抓着,抓取"
obi,"衣带(和服用),人物全身服饰>衣带(和服用),带子"
